[Epoch 0:0] SINR=-7.29 dB | Thrpt=0.2469 bps/Hz | Latency=16.85 ms | Loss=-3.9806 | Align=0.5886 | Orth=3.6204 | Replay=0.0000 | Fisher=0.0000
[Epoch 0:20] SINR=-6.25 dB | Thrpt=0.3068 bps/Hz | Latency=16.17 ms | Loss=0.6416 | Align=0.5560 | Orth=5.9365 | Replay=0.0000 | Fisher=0.0000
[Epoch 0:40] SINR=-7.37 dB | Thrpt=0.2429 bps/Hz | Latency=16.90 ms | Loss=0.8838 | Align=0.6215 | Orth=1.0558 | Replay=0.0000 | Fisher=0.0000
[Epoch 1:0] SINR=-7.49 dB | Thrpt=0.2368 bps/Hz | Latency=16.97 ms | Loss=-1.3440 | Align=0.5679 | Orth=7.1336 | Replay=0.0000 | Fisher=0.0000
[Epoch 1:20] SINR=-6.85 dB | Thrpt=0.2707 bps/Hz | Latency=16.58 ms | Loss=-0.9267 | Align=0.5181 | Orth=2.6821 | Replay=0.0000 | Fisher=0.0000
[Epoch 1:40] SINR=-6.88 dB | Thrpt=0.2692 bps/Hz | Latency=16.60 ms | Loss=2.6795 | Align=0.6259 | Orth=4.5020 | Replay=0.0000 | Fisher=0.0000
[Epoch 2:0] SINR=-7.44 dB | Thrpt=0.2391 bps/Hz | Latency=16.95 ms | Loss=-3.2350 | Align=0.5351 | Orth=4.9126 | Replay=0.0000 | Fisher=0.0000
[Epoch 2:20] SINR=-6.47 dB | Thrpt=0.2932 bps/Hz | Latency=16.32 ms | Loss=-0.8458 | Align=0.6036 | Orth=2.8119 | Replay=0.0000 | Fisher=0.0000
[Epoch 2:40] SINR=-7.55 dB | Thrpt=0.2336 bps/Hz | Latency=17.01 ms | Loss=0.7774 | Align=0.5889 | Orth=0.8538 | Replay=0.0000 | Fisher=0.0000
[Epoch 3:0] SINR=-7.26 dB | Thrpt=0.2484 bps/Hz | Latency=16.84 ms | Loss=-3.8557 | Align=0.5522 | Orth=3.8517 | Replay=0.0000 | Fisher=0.0000
[Epoch 3:20] SINR=-7.86 dB | Thrpt=0.2188 bps/Hz | Latency=17.19 ms | Loss=-0.5887 | Align=0.6034 | Orth=3.1563 | Replay=0.0000 | Fisher=0.0000
[Epoch 3:40] SINR=-7.35 dB | Thrpt=0.2438 bps/Hz | Latency=16.89 ms | Loss=0.6955 | Align=0.6542 | Orth=0.7156 | Replay=0.0000 | Fisher=0.0000
